Sl. No.,State/UT,Educational Standard - Illiterate,Educational Standard - Below Class X,Educational Standard - Class X & above but below Graduation,Educational Standard - Graduate,Educational Standard - Holding Tech. Degree/ Diploma,Educational Standard - Post Graduate,Educational Standard - Total,Domicile - Belongs to State,Domicile - Belongs to other State,Domicile - Belongs to other Country,Domicile - Total,Convicts - Male Special Prison,Convicts - Female Special Prison,Convicts - Transgender Special Prison,Convicts - Total  Special Prison,Undertrials - Male  Special Prison,Undertrials - Female  Special Prison,Undertrials - Transgender  Special Prison,Undertrials - Total  Special Prison,Detenues - Male  Special Prison,Detenues - Female  Special Prison,Detenues - Transgender  Special Prison,Detenues - Total  Special Prison,Hindu,Muslim,Sikh,Christian,Others,Total (Religion),Convicts - Male,Convicts - Female,Convicts - Transgender,Convicts - Total,Undertrials - Male,Undertrials - Female,Undertrials - Transgender,Undertrials - Total,Detenues - Male,Detenues - Female,Detenues - Transgender,Detenues - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Total - Male,Total - Female,Total - Transgender,Total - Total,16 - 18 Years - No. of Convicts,16 - 18 Years - % Share,18 - 30 Years - No. of Convicts,18 - 30 Years - % Share,30 - 50 Years - No. of Convicts,30 - 50 Years - % Share,50 Years & Above - No. of Convicts,50 Years & Above - % Share,Total - No. of Convicts (AgeGroup),Total - % Share (Agegroup),Offences affecting the Human Body - Murder - (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder - (Col. 4),Offences affecting the Human Body - Dowry Deaths - (Col. 5),Offences affecting the Human Body - Attempt to Murder - (Col. 6),Offences affecting the Human Body - Kidnapping & Abduction - (Col. 7),Offences affecting the Human Body - Rape - (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty - (Col. 9),Total Offences affecting the Human Body - (Col. 10),Offences against Public Tranquility - Riots - (Col. 11),Offences against Property - Thefts - (Col. 12),Offences against Property - Extortion - (Col. 13),Offences against Property - Robbery - (Col. 14,Offences against Property - Dacoity - (Col. 15),Offences against Property - Prep. and Assembly for Dacoity - (Col. 16),Offences against Property - Criminal Breach of Trust - (Col. 17),Offences against Property - Cheating - (Col. 18),Offences against Property - Arson - (Col. 19),Offences against Property - Burglary - (Col. 20),Total Offences against Property - (Col. 21),Offences relating to Documents & Property Marks - Counterfeiting - (Col. 22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband - (Col. 23),Other Crime Against Women - Insult to the Modesty of Women - (Col. 24),Total Other Crime Against Women - Col (23) + Col (24) - (Col. 25),Undertrials of offences against women (Total of Col. 5 + Col. 8 + Col. 9 + Col.23 + Col.24) - (Col. 26),Other IPC Crimes - (Col. 27),Total Undertrials (IPC Crimes) - (Col. 28)
1,Andhra Pradesh,1882,1847,883,277,49,63,5001,2243,114,3,2360,0,0,0,0,0,0,0,0,0,0,0,0,1891,251,0,194,24,2360,2250,107,0,2357,4668,321,2,4991,13,0,0,13,1,0,0,1,6932,428,2,7362,0,0,851,36.1,1151,48.8,358,15.2,2360,100,484,53,60,331,50,211,25,1214,0,580,19,103,88,27,23,106,1,97,1044,34,102,8,110,406,345,2747
2,Arunachal Pradesh,31,54,38,4,0,0,127,92,34,0,126,0,0,0,0,0,0,0,0,0,0,0,0,52,6,0,42,26,126,122,4,0,126,121,6,0,127,0,0,0,0,0,0,0,0,243,10,0,253,0,0,54,42.9,60,47.6,12,9.5,126,100,31,4,0,1,8,9,0,53,0,23,4,13,0,0,0,0,19,10,69,0,0,0,0,9,4,126
3,Assam,3097,2232,930,224,4,8,6495,2687,87,5,2779,80,3,0,83,146,5,0,151,0,0,0,0,1335,1313,45,53,33,2779,2701,73,0,2774,6231,219,0,6450,0,0,0,0,0,0,0,0,8932,292,0,9224,0,0,603,21.7,1637,58.9,539,19.4,2779,100,1741,266,66,544,401,318,57,3393,17,1202,59,127,76,0,25,22,39,270,1820,29,159,1,160,601,197,5616
4,Bihar,11675,17502,11623,2606,387,394,44187,7605,125,11,7741,0,0,0,0,0,0,0,0,0,0,0,0,6493,1225,7,10,6,7741,7431,299,0,7730,42698,1413,2,44113,4,0,0,4,2,0,0,2,50135,1712,2,51849,0,0,2066,26.7,3654,47.2,2021,26.1,7741,100,6140,508,1639,4974,1833,1537,315,16946,166,2831,326,1743,1289,363,219,413,58,290,7532,74,642,27,669,4160,503,25890
5,Chhattisgarh,3268,5997,1940,541,67,150,11963,5785,311,6,6102,0,0,0,0,0,0,0,0,0,0,0,0,5632,212,32,219,7,6102,5790,306,0,6096,11377,573,2,11952,1,0,0,1,2,0,0,2,17170,879,2,18051,0,0,2442,40,2702,44.3,958,15.7,6102,100,2873,196,123,1383,294,2565,290,7724,37,483,14,328,281,24,76,161,13,373,1753,44,32,14,46,3024,732,10336
6,Goa,169,128,115,7,0,0,419,70,34,1,105,0,0,0,0,0,0,0,0,0,0,0,0,76,11,0,18,0,105,99,5,0,104,341,20,1,362,0,0,0,0,0,0,0,0,440,25,1,466,0,0,35,33.3,55,52.4,15,14.3,105,100,113,0,0,22,15,37,24,211,0,32,0,21,3,0,0,22,0,0,78,0,0,0,0,61,43,332
7,Gujarat,2162,5307,1986,478,156,106,10195,3666,159,28,3853,69,3,0,72,283,6,0,289,211,5,1,217,3050,755,12,33,3,3853,3660,161,4,3825,9759,377,9,10145,1143,25,1,1169,0,0,0,0,14562,563,14,15139,0,0,1092,28.3,2014,52.3,747,19.4,3853,100,3265,75,15,420,502,1651,92,6020,77,613,66,231,296,47,319,23,11,152,1758,84,138,0,138,1896,297,8374
8,Haryana,3002,6048,4786,777,160,178,14951,2556,777,5,3338,0,0,0,0,0,0,0,0,0,0,0,0,2559,558,177,44,0,3338,3232,100,1,3333,14413,488,5,14906,12,0,0,12,0,0,0,0,17657,588,6,18251,0,0,1472,44.1,1486,44.5,380,11.4,3338,100,4108,189,389,1303,855,1552,251,8647,93,1740,109,502,550,187,211,184,20,253,3756,33,77,16,93,2285,0,12622
9,Himachal Pradesh,239,653,539,87,23,33,1574,631,159,63,853,0,0,0,0,0,0,0,0,0,0,0,0,777,38,33,2,3,853,766,24,0,790,1383,72,0,1455,0,0,0,0,0,0,0,0,2149,96,0,2245,0,0,149,17.5,523,61.3,181,21.2,853,100,398,3,0,42,32,325,10,810,0,21,1,5,2,0,4,2,0,8,43,0,5,0,5,340,57,915
10,Jharkhand,3555,8230,3954,895,304,165,17103,4861,223,0,5084,0,0,0,0,0,0,0,0,0,0,0,0,3604,642,42,361,435,5084,4858,226,0,5084,16425,675,0,17100,3,0,0,3,0,0,0,0,21286,901,0,22187,0,0,1339,26.3,2709,53.3,1036,20.4,5084,100,4085,220,779,1611,801,1793,268,9557,139,1441,228,463,555,155,206,802,41,155,4046,62,410,16,426,3266,134,14364
